# 参考库(同源 HSDZ_MES)生产管理相关表结构

==== TABLE plang ====
name | typ | is_nullable | dflt | is_identity | cmt
jgdj | float | 1 | ((0)) | 0 | 加工单价合计
ywman2 | nvarchar(40) | 1 |  | 0 | 业务员2（理论分配量姓名）
cust_po | nvarchar(80) | 1 |  | 0 | 制单号
sfpw | nvarchar(2) | 1 | (N'N') | 0 | 是否排完
qr | nvarchar(2) | 1 | (N'N') | 0 | 审核(系统排产=Y，人工排产=R)
asp_user1 | nvarchar(40) | 1 |  | 0 | 创建人
asp_time1 | datetime2 | 1 | (getdate()) | 0 | 创建时间
asp_user2 | nvarchar(40) | 1 |  | 0 | 最后修改人
asp_time2 | datetime2 | 1 |  | 0 | 最后修改时间
asp_user3 | nvarchar(40) | 1 |  | 0 | 审核人
asp_time3 | datetime2 | 1 |  | 0 | 审核时间
asp_cancel | nvarchar(2) | 1 | (N'N') | 0 | 删除标记
asp_user4 | nvarchar(40) | 1 |  | 0 | 删除人
asp_time4 | datetime2 | 1 |  | 0 | 删除时间
asp_print | int | 0 | ((0)) | 0 | 打印次数
-- 62 rows

==== TABLE scjd ====
name | typ | is_nullable | dflt | is_identity | cmt
comm | nvarchar(40) | 0 |  | 0 | 公司
id | int | 0 |  | 1 | 
od_no | nvarchar(60) | 1 |  | 0 | 订单号
gldh | nvarchar(40) | 1 |  | 0 | 工单号码
ch | nvarchar(40) | 1 |  | 0 | 用户
zh | nvarchar(10) | 1 |  | 0 | 用户
sl | float | 1 | ((0)) | 0 | 数量
khys | nvarchar(80) | 1 |  | 0 | 款号颜色
cm | nvarchar(80) | 1 |  | 0 | 尺码
sc_date | datetime2 | 1 |  | 0 | 日期
ywman | nvarchar(40) | 1 |  | 0 | 业务员
ywymc | nvarchar(40) | 1 |  | 0 | 业务员名称
wgzt | nvarchar(4) | 1 |  | 0 | 完工状态
wgsj | datetime2 | 1 |  | 0 | 完工时间
gxxc | int | 1 | ((0)) | 0 | 工序项次
gxdm | nvarchar(12) | 1 |  | 0 | 工序代码
gxmc | nvarchar(60) | 1 |  | 0 | 工序名称
asp_user1 | nvarchar(40) | 1 |  | 0 | 创建人
asp_time1 | datetime2 | 1 | (getdate()) | 0 | 创建时间
asp_user2 | nvarchar(40) | 1 |  | 0 | 最后修改人
asp_time2 | datetime2 | 1 |  | 0 | 最后修改时间
asp_user3 | nvarchar(40) | 1 |  | 0 | 审核人
asp_time3 | datetime2 | 1 |  | 0 | 审核时间
asp_cancel | nvarchar(2) | 1 | (N'N') | 0 | 删除标记
asp_user4 | nvarchar(40) | 1 |  | 0 | 删除人
asp_time4 | datetime2 | 1 |  | 0 | 删除时间
asp_print | int | 1 | ((0)) | 0 | 打印次数
-- 27 rows

==== TABLE scjd_ls ====
name | typ | is_nullable | dflt | is_identity | cmt
comm | nvarchar(40) | 0 |  | 0 | 公司
id2 | int | 0 |  | 1 | 
id | int | 0 | ((0)) | 0 | 原单ID
od_no | nvarchar(60) | 1 |  | 0 | 订单号
gldh | nvarchar(40) | 1 |  | 0 | 工单号码
ch | nvarchar(40) | 1 |  | 0 | 用户
zh | nvarchar(10) | 1 |  | 0 | 用户
sl | float | 1 | ((0)) | 0 | 数量
khys | nvarchar(80) | 1 |  | 0 | 款号颜色
cm | nvarchar(80) | 1 |  | 0 | 尺码
sc_date | datetime2 | 1 |  | 0 | 日期
ywman | nvarchar(40) | 1 |  | 0 | 业务员
ywymc | nvarchar(40) | 1 |  | 0 | 业务员名称
wgzt | nvarchar(4) | 1 |  | 0 | 完工状态
wgsj | datetime2 | 1 |  | 0 | 完工时间
gxxc | int | 1 | ((0)) | 0 | 工序项次
gxdm | nvarchar(12) | 1 |  | 0 | 工序代码
gxmc | nvarchar(60) | 1 |  | 0 | 工序名称
asp_user1 | nvarchar(40) | 1 |  | 0 | 创建人
asp_time1 | datetime2 | 1 | (getdate()) | 0 | 创建时间
asp_user2 | nvarchar(40) | 1 |  | 0 | 最后修改人
asp_time2 | datetime2 | 1 |  | 0 | 最后修改时间
asp_user3 | nvarchar(40) | 1 |  | 0 | 审核人
asp_time3 | datetime2 | 1 |  | 0 | 审核时间
asp_cancel | nvarchar(2) | 1 | (N'N') | 0 | 删除标记
asp_user4 | nvarchar(40) | 1 |  | 0 | 删除人
asp_time4 | datetime2 | 1 |  | 0 | 删除时间
asp_print | int | 1 | ((0)) | 0 | 打印次数
-- 28 rows

==== TABLE scrb ====
name | typ | is_nullable | dflt | is_identity | cmt
comm | nvarchar(40) | 0 |  | 0 | 公司
id | int | 0 |  | 1 | 
sc_no | nvarchar(28) | 0 |  | 0 | 单号
sc_date | datetime | 1 |  | 0 | 日期
scx | nvarchar(16) | 1 |  | 0 | 生产线
ygxb | nvarchar(16) | 1 |  | 0 | 员工线别
wzdm | nvarchar(60) | 0 |  | 0 | 货品代码
lot_no | nvarchar(60) | 1 |  | 0 | 批号
color | nvarchar(60) | 1 |  | 0 | 颜色
siz | nvarchar(60) | 1 |  | 0 | 尺码
tr_sl | float | 1 | ((0)) | 0 | 投入数量
cc_sl | float | 1 | ((0)) | 0 | 产出数量
bl_sl | float | 1 | ((0)) | 0 | 不良数量
sjgs | float | 1 | ((0)) | 0 | 实际工时
